subjID,M or F,age,Age Group
1,F,10.30253251,Child
2,F,11.8275154,Child
3,F,11.84668036,Child
4,F,9.026694045,Child
5,F,12.05475702,Child
7,M,12.67624914,Child
8,M,10.35181383,Child
9,M,18.52156057,Adult
10,M,24.18069815,Adult
12,M,23.26078029,Adult
13,F,24.5174538,Adult
14,M,20.42710472,Adult
16,M,18.81451061,Adult
17,F,25.78234086,Adult
18,F,22.46132786,Adult
19,F,19.18412047,Adult
20,M,19.03080082,Adult
21,F,14.44490075,Teen
22,M,13.61806982,Teen
23,F,15.04996578,Teen
24,F,15.99726215,Teen
25,F,13.65366188,Teen
26,M,14.58453114,Teen
27,F,17.33607118,Teen
32,M,11.51266256,Child
33,M,9.938398357,Child
36,M,21.13073238,Adult
37,F,21.70568104,Adult
38,F,23.00616016,Adult
39,F,18.38466804,Adult
40,F,13.14989733,Teen
42,F,16.24640657,Teen
43,M,17.47843943,Teen
44,F,10.69130732,Child
46,F,17.44558522,Teen
47,M,13.045859,Teen
48,F,10.85010267,Child
49,M,14.99247091,Teen
51,F,8.238193018,Child
52,M,16.3340178,Teen
53,F,20.49828884,Adult
54,M,9.138945927,Child
55,M,11.60574949,Child
56,M,9.46201232,Child
58,M,8.281998631,Child
131,F,15.95345654,Teen
147,M,14.70773443,Teen
148,M,11.89322382,Child
149,M,21.88090349,Adult
150,F,23.21697467,Adult
154,M,20.0054757,Adult
156,M,21.73853525,Adult
159,F,20.90896646,Adult
160,M,18.20123203,Adult
161,M,16.27104723,Teen
162,M,17.14168378,Teen
163,F,13.99041752,Teen
164,F,9.130732375,Child
165,F,16.07665982,Teen
166,F,11.74264203,Child
167,M,10.52703628,Child
